Id	Sub Nm	Rel Nm	Obj Nm	Annotation
400110	ananas i	sloc	patate i.2	1
339606	lentilles i.1	métonymie	pâtes i.2	1
186000	public n 2	syn	auditrice	1
52985	encombrer i	a1	gonflant	-1
149871	engloutir i	métaphore	porcherie ii	-1
508669	décote ii	syn	bousculer i.2	-1
135912	commère	syn	pipelette	1
369799	repérer ii	able2	ostensible	1
332190	maître-chanteur	syn	auteur i	1
510600	redresser ii	s0	résonance i	-1
342862	secrétariat ii	s1	élue	-1
220417	treize i.1b	adv1	expéditivement	-1
238326	surplus 1	syn	se la péter	-1
210222	pare-chocs i	métaphore	abondant ii	-1
260141	inerte 2	anti	réactif adj i.1c	1
507901	prudent	s0	philosophie i	-1
315343	cousu main adj i	métaphore	partir 1 iv.3	-1
43516	origine i.1	adv0	nuitamment	-1
257480	bazar i	syn	faux n, masc ii	-1
438796	pois 1	métonymie	tabaculture	-1
18445	capsule i	syn	séparément	1
419429	cérumen	syn	monde iii.2	-1
532568	nostalgique n, fém	syn	ici i.b	-1
47821	mois b	a0	trimestriel a	1
457838	gymnique	s0	volley-ball 1	-1
226499	volleyeur	syn	set	1
425329	barrer ii	a2	impraticable	-1
353306	thym 1	métonymie	laurier i.2	1
46295	danser	syn	chaise haute	-1
257042	moyen métrage	syn	fiction ii	1
199029	ampoule i.2	epit	petit adj iv	-1
409449	subdiviser	syn	masquer	-1
251288	félins n	a0	capitaine n, masc 1	-1
471848	opposer	able3	rempailler	-1
523258	raccompagner	s0	courant adj 2 2	-1
266892	chouquette	gener	fleur i.2	-1
338750	gravitation	syn	glacé i.2a	-1
428495	compagne de route	syn	acide adj 1	-1
477857	transformation ii.1	v0	devenir 1	1
435788	compatriote n, fém	syn	concitoyen	1
148096	mise en scène i.2	s2	bœuf 1 i.1a	1
459239	ronronner i	métaphore	gros dos iii	-1
119653	accuser i.1	s1	conseiller municipal	-1
494222	lavandière	syn	laveuse c	1
356901	pigeon ii	syn	étui	-1
7472	conjecturer	syn	front iii.2	-1
209255	pervers	syn	cochon n ii	1
445211	épuisement ii	a1	inépuisable	1
528681	legs i	métaphore	patrimoine 2	1
332549	foyer iv.1	s1	arbitre n, masc	-1
437722	médecin-expert n, masc	syn	sociologue n, fém	-1
332171	éplucheuse i	métonymie	clafoutis	1
156400	prisonnier adj i.1	métaphore	esclave adj i	1
103053	au bec	syn	bouffée i.1	1
459892	crâne adj 1	extension	grande gueule	1
416869	plumes i	s1	fleur i.2	-1
333211	taper sur le cigare	syn	rondeurs ii.1	-1
331602	pétanque	gener	fleur i.2	-1
371176	buveuse 2	syn	bêtement 1a	-1
125916	quarante-cinq 1a	métonymie	vingt 2	0
214040	réaction ii.2a	métaphore	tombée ii.b	1
437219	gelée	syn	décompte	-1
395997	capitaine n, masc 1	syn	s’engager iii.2a	-1
511439	s’exercer	a1	contorsion ii	1
428273	suspect adj	syn	méfiant	1
170076	filleule	s2	se montrer i	-1
89562	gouffre ii.2	syn	abîme ii.1	1
410310	kidnappeur	syn	ravisseuse i	1
341938	demande i	syn	supposé	-1
113140	impraticable	anti	ouvert ii.1	-1
420009	tentateur adj	s1	escroc ii	1
88622	traîner i	métaphore	tenir le coup	-1
167542	allumer ii.1	extension	aspirateur n i.3	1
393937	universitaire n, fém 2	syn	empiéter ii	-1
17818	analogie a	func0	retrouver ii	-1
108141	divaguer i	syn	rôder	1
100660	rigoureux i.1	métonymie	ancêtres ii	-1
311673	spécialisation	v0	commander ii	-1
391241	réagir i.1b	a1	réactif adj i.1c	1
112818	fusillade	s1	ball-trappeur	1
32263	enfiler i	métaphore	retirer i.1	1
460191	employé adj	s2	malade n, fém i	-1
268067	emploi i	v0	user i.1	1
286146	indiscipliné ii	syn	fou adj ii.3	1
224629	valeur intrinsèque	syn	capitaux propres	1
373761	réservation	v0	prendre place	1
142826	violette i	métonymie	jasmin ii	1
398478	se placer ii	s2	localisation	1
232587	hache a	spécialisation	arme de jet	1
75608	conclusion iii	v0	pécher	-1
321620	effroyable	syn	continuel	-1
350825	in extremis	syn	indication i.b	-1
376439	coiffer i	s3	vaccin	-1
477142	observateur n	syn	commentatrice	1
385207	blanchisseuse	syn	buandière	1
269947	meuble n iii	s1	bijoutier	1
27458	ochlophobe n, masc	gener	verre ii.1a	0
341333	piano ii	magn	de chien	-1
284097	proportion 1	extension	renversement i.2	-1
364792	les bras en tombent à _n.	a2	ébahi a	1
123282	cuisson i	codérivation	pot 1 v.2	1
142230	mangeur b	syn	mangeable	1
311959	promeneuse	syn	voyageur n	1
203953	affûter	syn	coupant i	1
210225	pare-chocs i	métaphore	fort adj i.2	1
495797	basketteuse	syn	quart-temps	1
334860	vedette 1 1	extension	grand adj iii.3b	1
517965	sensibilité iii	a1	sensible ii.2	1
263167	un art	syn	interdiction	-1
345893	magistrature	sing	femme de loi	1
26590	passage i	métaphore	coup de barre iii	-1
3168	connecter ii.2	syn	articuler 1 iii	1
431320	musique de chambre	gener	marche 1 iv	1
26024	ski de fond i	métonymie	fond viii.2	1
305355	condamnation	syn	amende	1
183127	canada i	a1	espagnol adj i.2	-1
128887	joueur n 2	syn	rugbyman n, fém	1
306587	gallois adj 2	s1	hispanophone n, masc	-1
95025	écraser iii	syn	effacer ii	1
313968	allumette i.1	syn	aux lèvres	-1
