Id	Sub Nm	Rel Nm	Obj Nm	Annotation
156289	réparer i	s1	mécanicien n ii.1	1
519643	dénoncer ii	s0	imitation	-1
323158	mauve b	syn	rose 1 b	1
368905	camp	syn	camper 1 ii	1
493690	cochon n iii	syn	stérile iii	1
332926	renardeau	syn	orpheline b	-1
101822	douze i.1b	syn	millier 1	0
194058	antennes i	real1	développer i.2	1
136812	nerveux i.2	métonymie	angoissé adj 2	1
215769	souriant	syn	caillou i	-1
380695	renoncule	syn	caille-lait	1
457493	prodige ii	syn	chaudière	-1
441342	acquit	v0	obtenir ii.1	1
330618	calmer i	métaphore	dissiper i	1
295571	marche 1 v.2	real1	se hisser	-1
434177	cricoïde	s1	conseillère municipale	-1
411836	panoplie i.1	epit	deuxième adj	-1
101788	douzaine	syn	mille num 1b	0
405155	rameur	syn	catastrophe i	-1
190997	teinture iii.2	syn	couleur ii.2b	1
343937	débrouillardise	s1	héritier	-1
165472	frôlement	v0	clapoter	-1
373406	croyable	anti	maximum n	-1
448517	date ii	bon	nombril iii.1	-1
215653	soupçonner	s2	café i	-1
376073	bouffer du lion	syn	habitude 1	-1
292627	levée iii	syn	former iv	-1
219919	télécharger	syn	transférer iii	1
147472	conclure i	métaphore	sortir i.2	-1
50035	lavomatique ii.1	syn	lavoir	1
427550	interrupteur	syn	gorille n	-1
449764	marche 2 i	loc	dans i.2	1
372791	à l’encre rouge	syn	force i	-1
199444	pessimisme	oper1	tirer iii.1a	-1
454786	endetté	syn	quoi de neuf ?	-1
455450	trente-trois 1a	métonymie	pince-fesses ii	-1
485288	autoritairement	a0	cycliste adj	-1
187620	ici et là	syn	drapeau	-1
440240	pelé adj ii	syn	détérioré	0
294623	susceptible i	s0	rage ii	1
32263	enfiler i	métaphore	retirer i.1	-1
460191	employé adj	s2	malade n	-1
268067	emploi i	v0	user i.1	1
286146	indiscipliné ii	syn	fou adj ii.3	-1
224629	valeur intrinsèque	syn	capitaux propres	1
373761	réservation	v0	prendre place	1
142826	violette i	métonymie	jasmin ii	1
398478	se placer ii	s2	localisation	1
232587	hache a	spécialisation	arme de jet	1
75608	conclusion iii	v0	pécher	-1
321620	effroyable	syn	continuel	-1
350825	in extremis	syn	indication i.b	-1
376439	coiffer i	s3	vaccin	-1
477142	observateur n	syn	commentatrice	1
385207	blanchisseuse	syn	buandière	1
269947	meuble n iii	s1	bijoutier	1
27458	ochlophobe n	 masc	verre ii.1a	-1
341333	piano ii	magn	de chien	-1
284097	proportion 1	extension	renversement i.2	-1
364792	les bras en tombent à _n.	a2	ébahi a	1
123282	cuisson i	codérivation	pot 1 v.2	1
142230	mangeur b	syn	mangeable	1
311959	promeneuse	syn	voyageur n	1
203953	affûter	syn	coupant i	1
210225	pare-chocs i	métaphore	fort adj i.2	1
495797	basketteuse	syn	quart-temps	1
334860	vedette 1 1	extension	grand adj iii.3b	1
517965	sensibilité iii	a1	sensible ii.2	1
263167	un art	syn	interdiction	-1
345893	magistrature	sing	femme de loi	1
26590	passage i	métaphore	coup de barre iii	-1
3168	connecter ii.2	syn	articuler 1 iii	1
431320	musique de chambre	gener	marche 1 iv	1
26024	ski de fond i	métonymie	fond viii.2	1
305355	condamnation	syn	amende	1
183127	canada i	a1	espagnol adj i.2	-1
128887	joueur n 2	syn	rugbyman n	1
306587	gallois adj 2	s1	hispanophone n	-1
95025	écraser iii	syn	effacer ii	1
313968	allumette i.1	syn	aux lèvres	-1
437187	manquer vii	s0	se languir	1
163207	soixante-dizaine	syn	cinquante 1b	0
385107	incliné	syn	dépréciation i	1
232854	nettoyer i.5	a2	nettoyé i.2	1
416896	se placer i	métaphore	talon i.2	-1
96323	agoraphobe n	 fém	nombre i.2	1
446593	et [x] de [y]	syn	comme un château de cartes	-1
293455	s’inquiéter	conv-ij	désespérer 3	1
458626	pion 1	s1	cadavre exquis	-1
457580	avorter	s0	s’éloigner ii	-1
171096	emprunté	s3	bus	1
331618	coccinelle i	syn	blatte	1
375541	mère 1 iv.1a	magn	de toujours	-1
87697	treize i.1a	métonymie	quinze ii	0
79188	tambour iii	a1	muni i	1
457295	soigneux	syn	soigné iii	1
406997	quatre cents 1a	métonymie	mille cinq cents 2	0
491115	réchauffer	s0	ébullition	1
431080	réactivité i.1a	métaphore	occidental n	-1
192263	automobiliste n	 fém	usager	1
231645	bouffer 1 iv.4a	extension	en face 2	-1
456946	autorité des marchés financiers	syn	bras cassé	-1
498180	fanatique n	 fém	chiffre ii.3	-1
386181	mention ii	syn	fond vi.1	-1
337363	père de famille	contr	de long	-1
224540	résolu 2	syn	prémonition	-1
321619	effroyable	syn	assourdissant	1
129166	sensible ii.2	s0	sensibilité iii	1
446847	soixante-huitard adj	s0	goût ii.1	-1
529211	frissonner ii.2	s0	frisson ii.1	1
371868	manger v vi.2b	syn	bouffer 1 v.2	1
172822	coûter i	s2	droits de mutation	1
282527	couvercle 1	syn	s’équiper	-1
528167	carotte a	métonymie	chou n 1 i.2	1
224254	faire son quatre-heures ii	syn	détruire ii	-1
524713	location 1b	real1	enlever i.1	-1
252157	nationaliser	s0	irlandais	1
445002	imitation	v0	dénoncer ii	1
220794	erreur 2	a2	déformé ii	-1
520786	fleurir iv.1	syn	agrémenter	1
